id,etapa,actor,accion,sistema,resultado,control_necesario
SS-EVCHECK-001,Preinscripcion,Atleta,"Crea o reutiliza perfil Events y carga solamente los datos requeridos por la competencia","App Events / web","Ficha preliminar sin filas presenciales","Consentimiento informado; politica de privacidad; tratamiento especial para menores y datos sensibles"
SS-EVCHECK-002,Documentacion,Atleta,"Lee reglamento, declara condiciones solicitadas y acepta documentos aplicables","App Events / web","Registro de aceptacion con version del documento, fecha, hora y evidencia","Un OK simple no debe presentarse como firma digital certificada; definir con asesoria legal que documentos requieren firma"
SS-EVCHECK-003,Validacion previa,Organizador,"Revisa pago, categoria, requisitos y estado documental antes del evento","Panel Events","Atleta habilitado, observado o pendiente","No habilitar automaticamente casos incompletos"
SS-EVCHECK-004,QR atleta,Sistema,"Genera QR temporal de check-in asociado al registro del atleta","App Events","Credencial de presentacion rapida","QR de corta vigencia; no incluir datos personales legibles; proteger contra capturas reutilizadas"
SS-EVCHECK-005,Check-in presencial,Mesa Events,"Escanea QR del atleta y verifica identidad visual/documental cuando corresponda","App Mesa Events","Confirma presencia real y habilita asignacion","La verificacion presencial es la que sostiene la condicion personal durante el evento"
SS-EVCHECK-006,Asignacion dispositivo,Mesa Events,"Escanea QR/serial del Save Swimmer propio o alquilado","App Mesa Events + backend","Vinculo temporal atleta-evento-dispositivo","Bloquear doble asignacion; registrar operador, hora y dispositivo anterior"
SS-EVCHECK-007,Activacion RF,Sistema,"Entrega credenciales temporales y configura modo Events","Backend + dispositivo","RF, geocerca, reglas, tiempos y alertas activos","Activacion debe expirar; confirmar recepcion antes de permitir salida"
SS-EVCHECK-008,Control de salida,Mesa/salida,"Confirma atleta presente y dispositivo transmitiendo","Panel Events","Atleta pasa de registrado a EN_CURSO","No confundir inscripcion con salida efectiva"
SS-EVCHECK-009,Durante evento,Organizador,"Monitorea seguridad, alertas, fuera de tiempo y pendientes","Panel Events","Seguimiento operacional","Save Swimmer no reemplaza protocolos, personal ni embarcaciones de rescate"
SS-EVCHECK-010,Llegada/cierre,Mesa/llegada,"Confirma llegada, salida segura o incidencia; libera vinculo temporal","Panel Events","Atleta cerrado y dispositivo disponible","Nadie queda simplemente asumido como retirado"
SS-EVCHECK-011,Cronometraje,Proveedor oficial,"Mantiene inicialmente chip y clasificación oficial separados de Save Swimmer","Sistema de cronometraje","Resultados oficiales independientes","Integrar cronometraje solo después de validar precisión, reglas y responsabilidad"
SS-EVCHECK-012,Postevento,Atleta/organizador,"Atleta recibe su resumen; organizador conserva solo información autorizada y necesaria","App Atleta / panel Events","Trazabilidad y cierre de datos","Definir retencion, anonimización, derechos ARCO y eliminación"
