"id","area","funcion","que_muestra","como_lo_interpreta","por_que_le_importa_al_atleta","estado"
"SS-ATH-INT-001","Separacion de apps","Laboratorio queda como control tecnico","BLE, SD, GPS, INA, firmware, descarga y diagnostico","No se mezcla con experiencia final de atleta","Reduce errores durante pruebas y mantiene una app limpia para mostrar producto","definido"
"SS-ATH-INT-002","Separacion de apps","App atleta queda como lectura humana","Rotacion, alineacion, impulso, ritmo, eficiencia, resumen","Traduce sensores crudos a lenguaje corporal","El atleta entiende su nado sin ver LR/FB/UD/MAG","definido"
"SS-ATH-INT-003","Modo en vivo","Vista BLE solo lectura","Rotacion dorsal, alineacion corporal, impulso MAG, GPS si existe, senal BLE","Compara valor actual contra ultimos segundos sin tocar SD ni cerrar sesion","Permite probar en piscina o playa sin arriesgar la grabacion principal","pendiente"
"SS-ATH-INT-004","Modo analisis CSV","Cargar CSV de sesion","Resumen completo posterior a la prueba","Lee archivo generado por SD o exportado, no descarga por BLE sesiones largas","Evita esperar 30-40 minutos por BLE y permite analisis con datos completos","pendiente"
"SS-ATH-INT-005","Comparativa inicio","Base de inicio","Promedio de primeros segundos/minutos validos","Detecta si el atleta esta mejor o peor que al arrancar","Permite saber si entro en ritmo o se deterioro","pendiente"
"SS-ATH-INT-006","Comparativa ventana reciente","Ventana movil 30 s","Promedio reciente contra valor actual","Detecta cambios inmediatos sin confundirlos con toda la sesion","Ayuda a ver cuando aparece fatiga o correccion tecnica","pendiente"
"SS-ATH-INT-007","Comparativa sesion","Promedio total activo","Valor actual contra promedio de la sesion","Ubica el estado actual dentro del contexto completo","Evita alarmar por una baja pequena si sigue sobre la media","pendiente"
"SS-ATH-INT-008","Comparativa historica","Base personal del atleta","Sesiones anteriores del mismo usuario y modo","Compara contra si mismo, no contra otro nadador","Hace que el sistema sea justo y motivador","futuro"
"SS-ATH-INT-009","Rotacion dorsal","Lectura principal LR","Derecha correcta/baja/excesiva, izquierda correcta/baja/excesiva, diferencia corporal","Analiza amplitud y simetria de rolido, con zona objetivo inicial 32-45 grados por lado","El atleta ve si rota parejo o nada plano/de un solo lado","pendiente"
"SS-ATH-INT-010","Alineacion corporal","Lectura UD/FB","Estable, irregular, caida progresiva, posible fatiga tecnica","Observa variacion sostenida de la linea corporal y tendencia de subida/bajada","Puede indicar perdida de posicion hidrodinamica o cansancio","pendiente"
"SS-ATH-INT-011","Impulso","Lectura MAG","Promedio, picos, regularidad y caida de empuje","Detecta si el empuje es parejo, sube, baja o se vuelve irregular","Permite diferenciar fuerza de tecnica y continuidad","pendiente"
"SS-ATH-INT-012","Ritmo","Ciclo aproximado","Frecuencia estable, acelerada, lenta o detenida","Detecta periodicidad de rotacion/impulso y cambios por tramos","El atleta sabe en que minuto empezo a cambiar su ritmo","pendiente"
"SS-ATH-INT-013","Eficiencia","Cruce GPS + MAG + rotacion + alineacion","Sube velocidad por eficiencia, por fuerza o baja aunque aumente esfuerzo","Si velocidad sube con igual MAG puede mejorar tecnica; si baja con mas MAG puede perder eficiencia","Este es un diferencial fuerte: explica por que avanza mas o menos","pendiente"
"SS-ATH-INT-014","Resumen temporal","Historia del nado","Inicio, tramo estable, primer cambio relevante, tramo final","Detecta cuando cambio ritmo, rotacion, alineacion o impulso","El atleta entiende el momento donde empezo la fatiga o la mejora","pendiente"
"SS-ATH-INT-015","Explicacion por diagnostico","Resultado + por que + significado","Ejemplo: Rotacion izquierda baja; porque fue menor que derecha; puede indicar asimetria","Evita frases vacias sin evidencia","Da confianza y hace que el atleta acepte la lectura","pendiente"
"SS-ATH-INT-016","Prudencia de lenguaje","Interpretacion inicial","Posible, probable, requiere mas sesiones, comparar con tu base","No afirmar lesiones, ahogamiento o errores tecnicos absolutos sin validacion","Protege credibilidad y evita sobreprometer","definido"
"SS-ATH-INT-017","Motivacion","Mensajes no castigadores","Mejoraste respecto al inicio, bajaste en el ultimo tramo, mantuviste alineacion","Enfoca progreso y tendencia, no juicio negativo","Hace que el atleta quiera volver a usarlo","pendiente"
