id,prioridad,momento,item,cantidad,costo_unitario_referencial_soles,costo_total_referencial_soles,proveedor_referencia,finalidad,decision,observacion
SS-CMP-027,CRITICA,Reservar cuando llegue,Sensor presion/profundidad MS5837-30BA,1,"Por cotizar","Por cotizar",Altamira Peru,"Medir profundidad relativa, tiempo sumergido, patrones de inmersion y temperatura como contexto","RESERVAR UNO SI ES MODULO UTILIZABLE","Confirmar que sea modulo con conexiones accesibles y no solamente sensor SMD; necesita contacto controlado con agua, calibracion atmosferica y montaje correcto"
SS-CMP-028,MEDIA,Comprar despues de validar Lite,Modulo LoRa RFM95W 915S2,2,"Por cotizar","Por cotizar",Altamira Peru,"Probar enlace Events entre dispositivo y receptor de playa","COMPRAR SOLO DOS UNIDADES","Un solo modulo no permite probar enlace; corresponde a Events, requiere receptor, protocolo, antena y revision regulatoria 915-928 MHz"
SS-CMP-029,MEDIA,Comprar junto con LoRa Events,Antena LoRa flexible 915 MHz,2,"Por cotizar","Por cotizar",Altamira Peru,"Realizar pruebas RF con antena adaptada a cada extremo del enlace","COMPRAR SOLO SI SE COMPRAN DOS RFM95W","No transmitir el RFM95W sin antena; validar adaptacion, ubicacion y efecto del agua"
SS-CMP-030,ESPERAR,No comprar todavia,Bobina receptora Qi,0,0,0,Altamira Peru,"Carga inalambrica futura","ESPERAR","La bobina sola no constituye un cargador y debe ajustarse al circuito receptor, carcasa, distancia y materiales"
SS-CMP-031,ESPERAR,No comprar todavia,Chip controlador Qi BQ51013B,0,0,0,Altamira Peru,"Control de receptor Qi integrado en futura PCB","ESPERAR","Es un componente SMD para PCB especializada, no un modulo de prueba sencillo; requiere diseño RF/potencia, bobina y componentes asociados"
SS-CMP-001,CRITICA,Comprar ahora,Modulo GPS/GNSS GY-NEO-9M con antena activa,1,78,78,Altamira Peru,"Registrar rutas reales, velocidad, distancia, ultima posicion y realizar pruebas costeras","COMPRAR","Es el siguiente salto funcional mas importante; validar al aire libre antes de probar cerca del agua"
SS-CMP-002,CRITICA,Comprar ahora,Bateria LiPo plana nueva 3.7V 1500 mAh,1,"30-45","30-45",MTLAB u otro proveedor confiable,"Obtener pruebas repetibles de autonomia y comenzar a validar volumen fisico","COMPRAR","Preferir bateria nueva con ficha de dimensiones; conservar la GA40 usada solo para pruebas secundarias"
SS-CMP-003,CRITICA,Comprar ahora,Modulo INA219 medidor de corriente y voltaje,1,10,10,Sawers Peru,"Medir consumo real por modo: BLE SD GPS LED reposo y transmision","COMPRAR","Permitira calcular autonomia y detectar picos o consumos ocultos"
SS-CMP-004,CRITICA,Comprar ahora,Capacitores electroliticos 1000uF 16V pack,1,13,13,Altamira Peru,"Estabilizar alimentacion durante escritura SD y futuras cargas de GPS o comunicacion","COMPRAR","Ya existen capacitores ceramicos 104; colocar electrolitico cerca de la carga que genera picos"
SS-CMP-005,ALTA,Comprar ahora,Modulo carga y elevador 5V 2A Tipo-C integrado,1,10,10,Electronics Peru Store,"Comparar estabilidad y simplicidad contra TP4056 mas MT3608","COMPRAR PARA COMPARAR","No asumir que reemplaza el sistema final; medir consumo reposo y comportamiento durante carga"
