"id_prueba","fecha","tipo","firmware","alimentacion","conexion_sd","archivo","perfil","inicio_local","duracion_registrada_s","muestras","bytes","resultado","observacion"
"SS-PR-20260608-UX-087","2026-06-08","Estudio visualizacion recorridos largos","REQUISITOS-VISUALIZACION-RECORRIDOS-LARGOS-V001","Producto/UX","CSV/XLSX","","","0.00","0","0","DOCUMENTADO","Se estudia referencia visual de nado largo y se definen mapas operativos, posteriores y tecnicos; los huecos entre muestras no deben mostrarse como recorrido confirmado",
"SS-PR-20260526-SD-001","2026-05-26","MicroSD multi-sesion","SS-LITE-BLE-SD-V1-029","Bateria + MT3608","MicroSD VCC 5V","SS000001.CSV","vitto","2026-05-26 09:40:18","26.67","232","19394","VALIDA","CSV legible; sin bytes nulos ni control observados"
"SS-PR-20260526-SD-001","2026-05-26","MicroSD multi-sesion","SS-LITE-BLE-SD-V1-029","Bateria + MT3608","MicroSD VCC 5V","SS000002.CSV","vittoka","2026-05-26 09:40:55","25.17","242","20313","VALIDA","Segunda sesion consecutiva; cambio de perfil correcto"
"SS-PR-20260526-SD-001","2026-05-26","MicroSD multi-sesion","SS-LITE-BLE-SD-V1-029","Bateria + MT3608","MicroSD VCC 5V","SS000003.CSV","vprueba 3","2026-05-26 09:41:32","30.55","304","25452","VALIDA","Tercera sesion consecutiva; numeracion INDEX correcta"
"SS-PR-20260526-SD-002","2026-05-26","MicroSD sesion extendida","SS-LITE-BLE-SD-V1-029","Bateria + MT3608","MicroSD VCC 5V","SS000004.CSV","5 minutos","2026-05-26 09:47:35","236.89","2276","191692","VALIDA","Sesion SD continua de casi 4 minutos; CSV legible"
"SS-PR-20260526-SD-002","2026-05-26","MicroSD versus BLE app","SS-LITE-BLE-SD-V1-029","Bateria + MT3608","MicroSD VCC 5V","SS000005.CSV","2 minutos ms app","2026-05-26 09:52:54","93.71","908","76481","VALIDA","Correspondiente al CSV exportado por la app; SD registra mayor resolucion"
"SS-PR-20260526-SD-002","2026-05-26","Exportacion app BLE","FIELD-VIEWER-V0.3.11","Telefono Android","BLE","ss_2_minutos_ms_app_test_nado_20260526_095423.csv","2 minutos ms app","2026-05-26 09:52:54","89.15","178","10804","VALIDA","Misma sesion que SS000005; frecuencia BLE aproximada 2 Hz"
"SS-PR-20260526-BLE-DOWNLOAD-001","2026-05-26","Descarga CSV microSD a telefono","SS-LITE-BLE-SD-V1-031","Bateria + MT3608","MicroSD VCC 5V","SS000008.CSV","envo datos esp a blt","2026-05-26 10:49:49","28.84","286","23987","VALIDA","Original SD y archivo descargado por app BLE identicos byte por byte; SHA256 67487AEE6541263C0A76B068D08021C010852A6A7F51F6158190F0E4601EC301"
"SS-PR-20260526-BLE-DOWNLOAD-002","2026-05-26","Descarga BLE de sesion truncada","SS-LITE-BLE-SD-V1-031","Bateria + MT3608","MicroSD VCC 5V","SS000009.CSV","vittorio","2026-05-26 15:01:58","88.72","875","72704","TRANSFERENCIA_VALIDA_SESION_INCOMPLETA","Original SD y descarga BLE identicos SHA256 0B88F135849BDF154628D2E29B523B73B95C410119F82BB105F986F7FD884405; fila 875 incompleta en origen"
"SS-PR-20260526-SD-INTEGRITY-003","2026-05-26","Integridad cierre SD con BLE desconectado","SS-LITE-BLE-SD-V1-032","Bateria + MT3608","MicroSD VCC 5V","INCOMPLETA_SS000011.CSV","prueba de blt desconectado","2026-05-26 15:35:58","86.88","860","72640","SESION_SIN_CIERRE_VALIDADO","860 filas completas sin #END_SESSION; pantalla mostro ROWS=895 BATCH_BYTES=832; V033 reduce sync a 1 segundo y registra reset reason"
"SS-PR-20260526-SD-INTEGRITY-004A","2026-05-26","Integridad sesion con footer y cuerpo truncado","SS-LITE-BLE-SD-V1-033","Bateria + MT3608","MicroSD VCC 5V","INCOMPLETA_SS000012.CSV","TEST","2026-05-26 15:52:55","51.12","502","42040","FOOTER_PRESENTE_DATOS_TRUNCADOS","Footer informa ROWS=925 pero archivo recupera 501 filas completas y fila 502 truncada; evidencia falla del stream SD abierto"
"SS-PR-20260526-SD-INTEGRITY-004B","2026-05-26","Sesion corta validada","SS-LITE-BLE-SD-V1-033","Bateria + MT3608","MicroSD VCC 5V","SS000013.CSV","TEST","2026-05-26 15:55:29","20.25","200","16910","VALIDA","200 filas completas y footer ROWS=200; usuario la identifico como prueba menor a 15 segundos pero CSV registra 20.25 segundos"
"SS-PR-20260526-SD-INTEGRITY-004C","2026-05-26","Sesion corta sin footer","SS-LITE-BLE-SD-V1-033","Bateria + MT3608","MicroSD VCC 5V","INCOMPLETA_SS000014.CSV","TEST","2026-05-26 15:56:25","21.15","209","17562","SESION_SIN_CIERRE_VALIDADO","209 filas completas; no existe marca #END_SESSION"
"SS-PR-20260526-SD-INTEGRITY-005","2026-05-26","Prueba V034 con bateria posiblemente baja","SS-LITE-BLE-SD-V1-034","Bateria + MT3608","MicroSD VCC 5V","INCOMPLETA_SS000015.CSV","TEST","2026-05-26 16:08:34","31.71","297","24820","SESION_SIN_FOOTER_FILAS_INTEGRAS","297 filas completas sin #END_SESSION; no hay fila truncada; usuario informa bateria sin cargar durante aproximadamente dos dias"
"SS-PR-20260527-SD-INTEGRITY-006","2026-05-27","Segunda sesion V034 cortada a aproximadamente 31 segundos","SS-LITE-BLE-SD-V1-034","Bateria + MT3608","MicroSD VCC 5V","INCOMPLETA_SS000016.CSV","sali a caminar","2026-05-27 09:41:51","30.93","286","26389","SESION_SIN_FOOTER_FILAS_INTEGRAS","286 filas completas sin #END_SESSION; segundo corte V034 alrededor de 31 segundos; evidencia de fallo reproducible de grabacion o confirmacion SD"
"SS-PR-20260527-SD-READBACK-007A","2026-05-27","Captura error readback V035 sesion minima","SS-LITE-BLE-SD-V1-035","Bateria + MT3608","MicroSD VCC 5V","SS000017.CSV","prueba v35","2026-05-27 10:19:56","1.30","1","357","BATCH_READBACK_FAILED","Error visible en app; una fila completa y sin footer"
"SS-PR-20260527-SD-READBACK-007B","2026-05-27","Captura error readback V035 sesion parcial","SS-LITE-BLE-SD-V1-035","Bateria + MT3608","MicroSD VCC 5V","SS000018.CSV","V35 prueba2","2026-05-27 10:21:46","23.33","217","18223","BATCH_READBACK_FAILED","217 filas completas y sin footer"
"SS-PR-20260527-SD-READBACK-007C","2026-05-27","Captura error readback V035 solo encabezado","SS-LITE-BLE-SD-V1-035","Bateria + MT3608","MicroSD VCC 5V","SS000019.CSV","v35 prueba 3","2026-05-27 10:30:36","0.00","0","279","BATCH_READBACK_FAILED","Solo encabezado CSV y sin footer"
"SS-PR-20260527-SD-READBACK-007D","2026-05-27","Captura error readback V035 sesion parcial","SS-LITE-BLE-SD-V1-035","Bateria + MT3608","MicroSD VCC 5V","SS000020.CSV","v35 prueba 3","2026-05-27 10:30:42","30.86","286","23916","BATCH_READBACK_FAILED","286 filas completas y sin footer"
"SS-PR-20260527-SD-READBACK-007E","2026-05-27","Captura error readback V035 sesion parcial","SS-LITE-BLE-SD-V1-035","Bateria + MT3608","MicroSD VCC 5V","SS000021.CSV","prueba a4","2026-05-27 10:36:53","31.95","296","24767","BATCH_READBACK_FAILED","296 filas completas y sin footer; la tarjeta contiene sesiones previas de hasta 191692 bytes"
"SS-PR-20260527-HW-ENERGIA-008","2026-05-27","Verificacion alimentacion y resoldado previo a nueva prueba","SS-LITE-BLE-SD-V1-036","Bateria + MT3608","MicroSD VCC 5V","","","0.00","0","0","INTERVENCION_FISICA","Usuario mide 5.06 V en salida MT3608; 5.06 V al ESP32 y 5.06 V al modulo microSD; resuelda conexiones positivas y negativas; pendiente repetir sesion V036 con apagado completo",
"SS-PR-20260527-HW-ENERGIA-009","2026-05-27","Prueba posterior a resoldado sin inicio de sesion SD","SS-LITE-BLE-SD-V1-036","Bateria + MT3608","MicroSD VCC 5V","","","0.00","0","0","SD_RECOVERY_FAILED","Perfil recibido correctamente por BLE; al iniciar sesion la microSD no monta ni crea archivo; aislar hardware SD/SPI o alimentacion transitoria",
