id,bloque,componente_o_zona,medida_aprox_mm,ubicacion_sugerida,funcion,notas_para_fabricacion
PCB,Base,PCB principal Save Swimmer Lite,78 x 38 x 1.0/1.2,Interior carcasa dorsal,Soporte electronico principal,"Medida conceptual para reducir desde caja prototipo 110 x 70 x 30; ajustar a carcasa real"
PCB,Forma,Contorno tipo capsula hidrodinamica,78 x 38,Perimetro completo,Reducir aristas y facilitar sellado,"Bordes redondeados; considerar carcasa 85 x 45 x 18 aprox como primer objetivo"
RF,Zona antenas,Zona libre de cobre para RF,20 x 38,Extremo superior/cola del PCB,Permitir antena GSM/GNSS/BLE,"No colocar bateria ni planos metalicos encima; requiere revision RF"
MCU,Procesamiento,ESP32-S3-WROOM-1 N16R8,18 x 26,Centro-derecha,Procesamiento BLE/WiFi/IMU/gateway local,"Mantener keepout de antena ESP si se usa antena del modulo; alternativa final chip/PCB antenna requiere diseno RF"
IMU,Sensores,IMU MPU6050/ICM20602/ICM-42688 footprint TBD,4 x 4 a 10 x 10,Centro fisico del PCB,Lectura de movimiento dorsal y rotacion,"Debe ubicarse centrada y alineada con eje del cuerpo; marcar orientacion en serigrafia"
SD,Memoria,microSD o memoria flash,15 x 14,Inferior derecha,Registro de sesiones y datasets,"microSD util en desarrollo; producto final podria usar flash interna para mejor sellado"
PWR,Carga,Cargador LiPo + proteccion,12 x 10,Inferior izquierda,Carga y proteccion bateria,"Reemplaza TP4056 modular por IC de carga integrado; definir carga magnetica/Qi/pogo"
PWR,Regulacion,Boost/buck/power path,14 x 10,Centro inferior,Alimentacion estable 3.3V/4V/5V segun modulos,"MT3608 conceptual; final debe usar regulador eficiente y bajo consumo en reposo"
CELL,Comunicacion,GSM/LTE/NB-IoT modulo TBD,18 x 16 a 30 x 30,Extremo RF/izquierda,Datos remotos, SOS y ubicacion si aplica,"Seleccionar modulo compatible Peru; SIM800L 2G no recomendado como final si red 2G no esta garantizada"
SIM,Identidad,SIM/eSIM/MFF2 o nanoSIM sellada,8 x 6 a 12 x 15,Cerca modulo celular,Identidad celular y plan SS,"Producto sellado deberia evitar SIM removible por usuario; evaluar eSIM/MFF2 o SIM interna"
GNSS,Ubicacion,GPS/GNSS modulo o receptor integrado,10 x 10 a 16 x 12,Zona RF,Ubicacion del nadador,"Antena activa/ceramica necesita vista al cielo; agua reduce senal; validar en playa"
BLE,Local,BLE integrado ESP32-S3,Incluido MCU,ESP32,Configuracion cercana y pruebas,"BLE no sirve remoto; solo cerca del telefono"
WATER,Agua,Sensor de agua por electrodos/capacitivo,2 pads externos,Carcasa exterior,Detectar ingreso/salida del agua,"Debe tener proteccion corrosion/salitre; definir logica para no falsos positivos"
LED,Visual,LEDs estado/SOS 360,4 a 8 LEDs perimetro,Borde o difusor lateral,Visibilidad nocturna/estado,"No poner solo arriba; usar difusor perimetral para visibilidad 360"
BTN,Entrada,Boton fisico o reed/hall magnetico,5 x 5,Lateral sellado,Encendido/SOS/cancelar,"Preferible activacion magnetica o boton sellado IP; evitar perforaciones debiles"
MOTOR,Haptico,Vibrador mini opcional,10 x 3,Centro inferior,Confirmacion tactil/SOS,"Opcional; aumenta consumo y complejidad"
BATT,Energia,Bateria LiPo plana,45 x 30 x 4 a 60 x 35 x 5,Bajo PCB o placa separada,Energia del dispositivo,"No va sobre antenas; requiere proteccion mecanica y termica"
CONN,Programacion,Pads pogo/debug,6 pads,Parte inferior o lateral,Carga firmware y diagnostico,"Evitar conector abierto; usar pads internos o magneticos"
ENC,Carcasa,Carcasa estimada Lite,85 x 45 x 18 aprox,Exterior,Proteccion IP y ergonomia,"Objetivo preliminar; depende de bateria, antena y sellado"
CERT,Certificacion,IP68/seguridad/RF,No aplica,Proyecto,Validacion legal y comercial,"PCB final debe contemplar pruebas de estanqueidad, salinidad, RF y bateria"
