id,area,requisito,razon,criterio_minimo,riesgo_controlado,estado
SS-COV-001,Producto,Denominar confianza observada y no cobertura garantizada,"Las mediciones de dispositivos Save Swimmer no representan una garantia contractual de la operadora","La interfaz debe indicar datos observados, fecha, cantidad de muestras y ausencia de garantia futura","Publicidad engañosa y falsa sensacion de seguridad",PROPUESTA
SS-COV-002,Mapa,Capa historica agregada,"Cada sesion puede aportar evidencia sobre zonas con transmision estable, intermitente o ausente","Representar celdas o segmentos agregados y nunca trayectorias personales identificables","Privacidad y exposicion de rutinas",PROPUESTA
SS-COV-003,Calidad,Indice multidimensional,"Tener barras de señal no demuestra capacidad real de transmitir telemetria","Calcular exito de paquetes, latencia, duracion de cortes, recuperacion, tecnologia y calidad celular disponible","Interpretacion incorrecta de señal",PROPUESTA
SS-COV-004,Confianza,Muestra suficiente,"Una medicion aislada puede depender de oleaje, dispositivo, clima, congestion o postura","Mostrar nivel de confianza segun numero de sesiones, dispositivos, fechas y condiciones","Generalizacion apresurada",PROPUESTA
SS-COV-005,Actualizacion,Decaimiento temporal,"La red y las condiciones cambian con el tiempo","Reducir peso de datos antiguos y mostrar ultima actualizacion","Mapa obsoleto",PROPUESTA
SS-COV-006,Operadoras,Identificacion prudente,"Comparar o atribuir fallas a una empresa puede generar reclamos si la metodologia no es robusta","En beta mostrar primero desempeño observado de Save Swimmer; publicar operador solo con metodologia, muestras y revision legal","Conflicto comercial o reputacional",PROPUESTA
SS-COV-007,Privacidad,Anonimizacion y consentimiento,"Ubicacion y horarios pueden identificar rutinas del atleta","Consentimiento informado, minimizacion, agregacion espacial/temporal, retencion limitada y controles de acceso","Incumplimiento de proteccion de datos",CRITICO
SS-COV-008,Seguridad,No usar el mapa como unico criterio de ingreso,"Una zona historicamente estable puede fallar durante una sesion","Mostrar advertencia y mantener registro local, alertas por perdida, ultima posicion y protocolos humanos","Dependencia peligrosa del mapa",CRITICO
SS-COV-009,Planificacion,Ruta y zona de comunicacion prevista,"Coach o atleta puede evaluar antes del ingreso donde hubo cortes frecuentes","Mostrar zonas observadas verde/amarillo/rojo/gris con confianza y antiguedad","Decision sin contexto",PROPUESTA
SS-COV-010,Operacion,Deteccion de incidencia colectiva,"La perdida simultanea de varios dispositivos sugiere falla de zona o infraestructura mas que incidente individual","Comparar eventos cercanos en tiempo y espacio y degradar confianza general sin descartar verificacion individual","Alarmas masivas mal interpretadas",PROPUESTA
