id,area,requisito,razon,criterio_minimo,prioridad,estado
SS-RUTA-001,Trazabilidad,Diferenciar posicion medida estimada y ausente,"Unir todos los puntos con una linea continua puede inventar un recorrido que nunca fue confirmado","Puntos medidos visibles; tramos estimados discontinuos; huecos sin comunicacion claramente identificados",Critica,PROPUESTA
SS-RUTA-002,Mapa,Comparar ruta planificada y ruta realizada,"En aguas abiertas importa saber cuanto se desvio el atleta del corredor previsto","Mostrar corredor o ruta planificada con estilo tenue y recorrido registrado con estilo principal",Alta,PROPUESTA
SS-RUTA-003,Seguridad,Destacar ultima posicion confirmada,"Durante una incidencia la referencia mas importante es donde y cuando se recibio evidencia valida por ultima vez","Marcador diferenciado con hora, antiguedad, precision y estado de comunicacion",Critica,PROPUESTA
SS-RUTA-004,Comunicacion,Representar cortes y recuperaciones,"Los espacios entre grupos de puntos pueden indicar perdida de GPS, comunicacion o registro","Marcar inicio y fin del corte, duracion, distancia estimada y recuperacion sin asumir la causa",Critica,PROPUESTA
SS-RUTA-005,Tiempo,Incluir reproduccion temporal,"Una ruta estatica no permite comprender pausas, cambios de ritmo ni secuencia de eventos","Control de reproduccion y barra temporal con acceso a cada punto o evento",Alta,PROPUESTA
SS-RUTA-006,Semantica,Usar colores consistentes por estado,"El mapa debe poder interpretarse rapidamente durante una supervision","Cian confirmado normal; amarillo requiere verificacion; rojo alerta; gris estimado o sin evidencia",Alta,PROPUESTA
SS-RUTA-007,Resumen,Mostrar distancia duracion y ritmo contextual,"La imagen de referencia comunica rapidamente escala y logro del recorrido","Encabezado con distancia registrada, duracion, ritmo promedio y porcentaje de ruta con evidencia confirmada",Media,PROPUESTA
SS-RUTA-008,Eventos/Relevos,Identificar atleta por tramo y relevo,"En un relevo no debe suponerse que una sola persona realizo todo el recorrido","Cada tramo debe vincularse al atleta responsable y los relevos deben quedar confirmados con hora y posicion",Alta,PROPUESTA
SS-RUTA-009,Rendimiento,Agrupar puntos segun escala,"Miles de posiciones pueden saturar el telefono y ocultar eventos relevantes","Aplicar simplificacion visual sin borrar puntos de alerta, cortes, relevos o cambios relevantes",Alta,PROPUESTA
SS-RUTA-010,Calidad,Mostrar precision y confianza de posicion,"Un punto GPS puede tener error considerable y no representa una ubicacion exacta","Permitir consultar precision, fuente, antiguedad y confianza de cada punto",Alta,PROPUESTA
SS-RUTA-011,Privacidad,Crear modo compartible protegido,"La ruta posterior puede difundirse en redes pero tambien revelar rutinas y domicilios","Permitir ocultar extremos, nombres, horarios exactos y datos sensibles antes de compartir",Alta,PROPUESTA
SS-RUTA-012,Producto,Separar vistas segun usuario,"Coach, atleta e investigacion necesitan diferentes niveles de detalle","Mapa operativo simple para Coach; historia/replay para atleta; muestras completas para analisis tecnico",Critica,PROPUESTA
SS-RUTA-013,Seguridad,Superponer geocerco y distancia a base o costa,"La trayectoria aislada no indica si el atleta permanece dentro de una zona prevista","Mostrar corredor seguro, limites, distancia a base/costa y eventos de salida o reingreso",Critica,PROPUESTA
SS-RUTA-014,Comunicacion,Superponer confianza de comunicacion observada,"Un recorrido largo puede atravesar zonas con distinta capacidad de transmision","Capa opcional con estabilidad observada, cantidad de muestras y antiguedad sin prometer cobertura",Alta,PROPUESTA
SS-RUTA-015,Presentacion,Evitar elementos que simulen profundidad o altura sin medirla,"Pines verticales o efectos 3D pueden sugerir datos inexistentes y dificultar la lectura","Usar representacion plana por defecto; profundidad o altura solo si existe sensor y leyenda explicita",Media,PROPUESTA
