"categoria","documento","finalidad","estado","formatos","archivos","actualizado"
"01. Direccion, empresa e ISO","save_swimmer_premisas","Premisas historicas del proyecto.","ACTIVO","MD","save_swimmer_premisas.md","2026-06-03 18:17"
"01. Direccion, empresa e ISO","SS-ARBOL-EMPRESA-V001","Estructura integral de empresa, producto, operaciones y cumplimiento.","ACTIVO","XLSX","documentos_iso\SS-ARBOL-EMPRESA-V001.xlsx","2026-05-21 16:20"
"01. Direccion, empresa e ISO","SS-BASE-CONCEPTUAL-PRODUCTO-V001","Registro central de premisas y decisiones fundamentales del producto.","ACTIVO","CSV / XLSX","documentos_iso\SS-BASE-CONCEPTUAL-PRODUCTO-V001.csv | documentos_iso\SS-BASE-CONCEPTUAL-PRODUCTO-V001.xlsx","2026-07-08 09:27"
"01. Direccion, empresa e ISO","SS-ISO-BASE-V001","Base inicial del sistema de gestion y documentacion ISO.","ACTIVO","DOCX","documentos_iso\SS-ISO-BASE-V001.docx","2026-05-21 16:16"
"02. Finanzas y sostenibilidad","presupuesto_referencial","Presupuesto de referencia de la campana de financiamiento.","ACTIVO","CSV","campana_financiamiento\presupuesto_referencial.csv","2026-05-28 16:19"
"02. Finanzas y sostenibilidad","recompensas_y_metas","Metas y recompensas propuestas para crowdfunding.","ACTIVO","CSV","campana_financiamiento\recompensas_y_metas.csv","2026-05-28 16:19"
"02. Finanzas y sostenibilidad","save_swimmer_costos","Notas historicas de costos del proyecto.","ACTIVO","MD","save_swimmer_costos.md","2026-05-17 15:14"
"02. Finanzas y sostenibilidad","SS-MODELO-FINANCIERO-PUNTO-EQUILIBRIO-V001","Costos, ingresos, membresias y punto de equilibrio proyectado.","ACTIVO","CSV / XLSX","documentos_iso\SS-MODELO-FINANCIERO-PUNTO-EQUILIBRIO-V001.csv | documentos_iso\SS-MODELO-FINANCIERO-PUNTO-EQUILIBRIO-V001.xlsx","2026-07-08 09:27"
"03. Legal, privacidad y autorizaciones","SS-FRM-CONFIDENCIALIDAD-AUTORIZACION-PRUEBA-V002","Consentimiento, confidencialidad y autorizacion para pruebas piloto.","ACTIVO","DOCX","documentos_legales\SS-FRM-CONFIDENCIALIDAD-AUTORIZACION-PRUEBA-V002.docx","2026-06-05 11:54"
"03. Legal, privacidad y autorizaciones","SS-TERMINOS-CONDICIONES-SERVICIO-V001","Borrador de condiciones de uso y limites del servicio.","ACTIVO","DOCX","documentos_iso\SS-TERMINOS-CONDICIONES-SERVICIO-V001.docx","2026-06-04 16:39"
"04. Hardware y diseno fisico","SS-LISTA-COMPRAS-PROTOTIPO-PRIORITARIA-V001","Lista priorizada de compras para resolver incertidumbres del prototipo sin agregar componentes prematuramente.","ACTIVO","CSV / XLSX","documentos_iso\SS-LISTA-COMPRAS-PROTOTIPO-PRIORITARIA-V001.csv | documentos_iso\SS-LISTA-COMPRAS-PROTOTIPO-PRIORITARIA-V001.xlsx","2026-07-08 09:27"
"04. Hardware y diseno fisico","SS-PCB-LITE-CONCEPT-V001","Concepto preliminar de PCB compacta para Save Swimmer Lite.","ACTIVO","CSV / SVG / XLSX","hardware_design\SS-PCB-LITE-CONCEPT-V001.csv | hardware_design\SS-PCB-LITE-CONCEPT-V001.svg | hardware_design\SS-PCB-LITE-CONCEPT-V001.xlsx","2026-06-04 16:47"
"04. Hardware y diseno fisico","SS-PCB-LITE-FAB-NOTES-V001","Notas tecnicas preliminares para futura fabricacion de PCB.","ACTIVO","TXT","hardware_design\SS-PCB-LITE-FAB-NOTES-V001.txt","2026-06-04 16:45"
"04. Hardware y diseno fisico","SS-PCB-LITE-LAYOUT-MOCK-V001","Representacion visual preliminar de distribucion de la PCB.","ACTIVO","SVG","hardware_design\SS-PCB-LITE-LAYOUT-MOCK-V001.svg","2026-06-04 16:55"
"04. Hardware y diseno fisico","SS-PROTOTIPO-ACTUAL-BLOQUES-V001","Esquema modular KiCad y conexiones documentadas del prototipo actualmente ensamblado.","ACTIVO","SVG","hardware_design\SS-PROTOTIPO-ACTUAL-KICAD-V001\export\SS-PROTOTIPO-ACTUAL-BLOQUES-V001.svg","2026-06-08 17:36"
"04. Hardware y diseno fisico","SS-PROTOTIPO-ACTUAL-PINOUT-V001","Esquema modular KiCad y conexiones documentadas del prototipo actualmente ensamblado.","ACTIVO","CSV","hardware_design\SS-PROTOTIPO-ACTUAL-KICAD-V001\SS-PROTOTIPO-ACTUAL-PINOUT-V001.csv","2026-06-08 17:28"
"04. Hardware y diseno fisico","SS-PROTOTIPO-ACTUAL-V001","Esquema modular KiCad y conexiones documentadas del prototipo actualmente ensamblado.","ACTIVO","SVG","hardware_design\SS-PROTOTIPO-ACTUAL-KICAD-V001\export\SS-PROTOTIPO-ACTUAL-V001.svg","2026-06-08 17:28"
"04. Hardware y diseno fisico","SS-REQUISITOS-CARCASA-Y-FLOTABILIDAD-V001","Requisitos de flotabilidad, desprendimiento y autoenderezamiento.","ACTIVO","CSV / XLSX","documentos_iso\SS-REQUISITOS-CARCASA-Y-FLOTABILIDAD-V001.csv | documentos_iso\SS-REQUISITOS-CARCASA-Y-FLOTABILIDAD-V001.xlsx","2026-07-08 09:27"
"05. Firmware, pruebas y validacion","SS-BITACORA-PRUEBAS-PROTOTIPO-V001","Historial maestro de pruebas, hallazgos y avances del prototipo.","ACTIVO","CSV / XLSX","documentos_iso\SS-BITACORA-PRUEBAS-PROTOTIPO-V001.csv | documentos_iso\SS-BITACORA-PRUEBAS-PROTOTIPO-V001.xlsx","2026-07-08 09:27"
"05. Firmware, pruebas y validacion","SS-PENDIENTES-FIRMWARE-APP-V001","Lista priorizada de funciones, correcciones y validaciones pendientes.","ACTIVO","CSV / XLSX","documentos_iso\SS-PENDIENTES-FIRMWARE-APP-V001.csv | documentos_iso\SS-PENDIENTES-FIRMWARE-APP-V001.xlsx","2026-07-08 09:27"
"05. Firmware, pruebas y validacion","SS-PROTOCOLO-PRUEBA-GATEWAY-GSM-V001","Procedimiento de prueba del telefono como gateway GSM temporal.","REEMPLAZADO","TXT","documentos_iso\SS-PROTOCOLO-PRUEBA-GATEWAY-GSM-V001.txt","2026-06-02 08:47"
"05. Firmware, pruebas y validacion","SS-PROTOCOLO-PRUEBA-GATEWAY-GSM-V002","Procedimiento de prueba del telefono como gateway GSM temporal.","ACTIVO","TXT","documentos_iso\SS-PROTOCOLO-PRUEBA-GATEWAY-GSM-V002.txt","2026-06-27 11:33"
"05. Firmware, pruebas y validacion","SS-PROTOCOLO-PRUEBA-SENAL-INMERSION-DESPRENDIMIENTO-V001","Protocolo para caracterizar comunicacion en posturas, inmersion y desprendimiento.","ACTIVO","CSV / XLSX","documentos_iso\SS-PROTOCOLO-PRUEBA-SENAL-INMERSION-DESPRENDIMIENTO-V001.csv | documentos_iso\SS-PROTOCOLO-PRUEBA-SENAL-INMERSION-DESPRENDIMIENTO-V001.xlsx","2026-07-08 09:27"
"05. Firmware, pruebas y validacion","SS-REGISTRO-PRUEBA-MICROSD-ENERGIA-V001","Registro formal de pruebas y fallas microSD/alimentacion.","REEMPLAZADO","DOCX","documentos_iso\SS-REGISTRO-PRUEBA-MICROSD-ENERGIA-V001.docx","2026-05-26 10:01"
"05. Firmware, pruebas y validacion","SS-REGISTRO-PRUEBA-MICROSD-ENERGIA-V002","Registro formal de pruebas y fallas microSD/alimentacion.","REEMPLAZADO","DOCX","documentos_iso\SS-REGISTRO-PRUEBA-MICROSD-ENERGIA-V002.docx","2026-06-03 18:28"
"05. Firmware, pruebas y validacion","SS-REGISTRO-PRUEBA-MICROSD-ENERGIA-V003","Registro formal de pruebas y fallas microSD/alimentacion.","REEMPLAZADO","DOCX","documentos_iso\SS-REGISTRO-PRUEBA-MICROSD-ENERGIA-V003.docx","2026-06-15 18:09"
"05. Firmware, pruebas y validacion","SS-REGISTRO-PRUEBA-MICROSD-ENERGIA-V004","Registro formal de pruebas y fallas microSD/alimentacion.","ACTIVO","DOCX","documentos_iso\SS-REGISTRO-PRUEBA-MICROSD-ENERGIA-V004.docx","2026-06-27 11:33"
"06. Comunicacion, mapas y alertas","SS-CRITERIOS-VALIDACION-ALERTA-TEMPRANA-V001","Criterios para validar alertas tempranas antes de considerarlas confiables.","ACTIVO","CSV / XLSX","documentos_iso\SS-CRITERIOS-VALIDACION-ALERTA-TEMPRANA-V001.csv | documentos_iso\SS-CRITERIOS-VALIDACION-ALERTA-TEMPRANA-V001.xlsx","2026-07-08 09:27"
"06. Comunicacion, mapas y alertas","SS-INVESTIGACION-COBERTURA-MOVIL-MAR-PERU-V001","Investigacion preliminar de cobertura movil costera en Peru.","ACTIVO","CSV / XLSX","documentos_iso\SS-INVESTIGACION-COBERTURA-MOVIL-MAR-PERU-V001.csv | documentos_iso\SS-INVESTIGACION-COBERTURA-MOVIL-MAR-PERU-V001.xlsx","2026-07-08 09:27"
"06. Comunicacion, mapas y alertas","SS-REQUISITOS-MAPA-CONFIANZA-COMUNICACION-V001","Requisitos del mapa colaborativo de comunicacion observada.","ACTIVO","CSV / XLSX","documentos_iso\SS-REQUISITOS-MAPA-CONFIANZA-COMUNICACION-V001.csv | documentos_iso\SS-REQUISITOS-MAPA-CONFIANZA-COMUNICACION-V001.xlsx","2026-07-08 09:27"
"06. Comunicacion, mapas y alertas","SS-REQUISITOS-VISUALIZACION-RECORRIDOS-LARGOS-V001","Requisitos para mapas de recorridos largos sin inventar continuidad.","ACTIVO","CSV / XLSX","documentos_iso\SS-REQUISITOS-VISUALIZACION-RECORRIDOS-LARGOS-V001.csv | documentos_iso\SS-REQUISITOS-VISUALIZACION-RECORRIDOS-LARGOS-V001.xlsx","2026-07-08 09:27"
"07. Producto, versiones y mercado","SS-ABANICO-MERCADO-NACIONAL-GLOBAL-V001","Posibilidades de aplicacion nacional y global por version.","ACTIVO","CSV / XLSX","documentos_iso\SS-ABANICO-MERCADO-NACIONAL-GLOBAL-V001.csv | documentos_iso\SS-ABANICO-MERCADO-NACIONAL-GLOBAL-V001.xlsx","2026-07-08 09:27"
"07. Producto, versiones y mercado","SS-PORTAFOLIO-VERSIONES-Y-PLATAFORMA-V001","Definicion de Lite, Pro, apps y plataforma.","ACTIVO","CSV / XLSX","documentos_iso\SS-PORTAFOLIO-VERSIONES-Y-PLATAFORMA-V001.csv | documentos_iso\SS-PORTAFOLIO-VERSIONES-Y-PLATAFORMA-V001.xlsx","2026-07-08 09:27"
"07. Producto, versiones y mercado","SS-REGISTRO-ESCENARIOS-ESTRATEGICOS-V001","Escenarios estrategicos contemplados para decisiones futuras.","ACTIVO","CSV / XLSX","documentos_iso\SS-REGISTRO-ESCENARIOS-ESTRATEGICOS-V001.csv | documentos_iso\SS-REGISTRO-ESCENARIOS-ESTRATEGICOS-V001.xlsx","2026-07-08 09:27"
"07. Producto, versiones y mercado","SS-ROADMAP-MERCADO-Y-EXPANSION-V001","Etapas previstas para ingreso, crecimiento y expansion.","ACTIVO","CSV / XLSX","documentos_iso\SS-ROADMAP-MERCADO-Y-EXPANSION-V001.csv | documentos_iso\SS-ROADMAP-MERCADO-Y-EXPANSION-V001.xlsx","2026-07-08 09:27"
"08. Events y competencias","SS-ARQUITECTURA-RF-EVENTS-V001","Arquitectura preliminar de radiofrecuencia para Events.","ACTIVO","CSV / XLSX","documentos_iso\SS-ARQUITECTURA-RF-EVENTS-V001.csv | documentos_iso\SS-ARQUITECTURA-RF-EVENTS-V001.xlsx","2026-07-08 09:27"
"08. Events y competencias","SS-ESTRATEGIA-EVENTS-MULTISPORT-V001","Estrategia de aplicacion de Save Swimmer Events en eventos multideporte.","ACTIVO","CSV / XLSX","documentos_iso\SS-ESTRATEGIA-EVENTS-MULTISPORT-V001.csv | documentos_iso\SS-ESTRATEGIA-EVENTS-MULTISPORT-V001.xlsx","2026-07-08 09:27"
"08. Events y competencias","SS-FLUJO-REGISTRO-Y-CHECKIN-EVENTS-V001","Flujo de inscripcion, identificacion y check-in para Events.","ACTIVO","CSV / XLSX","documentos_iso\SS-FLUJO-REGISTRO-Y-CHECKIN-EVENTS-V001.csv | documentos_iso\SS-FLUJO-REGISTRO-Y-CHECKIN-EVENTS-V001.xlsx","2026-07-08 09:27"
"08. Events y competencias","SS-MATRIZ-COMPETITIVA-FINISHER-DATA-V001","Analisis competitivo y estrategico frente a Finisher Data.","ACTIVO","CSV / XLSX","documentos_iso\SS-MATRIZ-COMPETITIVA-FINISHER-DATA-V001.csv | documentos_iso\SS-MATRIZ-COMPETITIVA-FINISHER-DATA-V001.xlsx","2026-07-08 09:27"
