id,elemento,propuesta,funcion,decision_preliminar,riesgo_o_validacion
SS-RF-001,Dispositivo propio Lite/Pro,"Incluir radio sub-GHz compatible con Events, normalmente apagado y activable temporalmente","Permitir que propietarios participen sin alquilar otro wearable",RECOMENDADO_CONDICIONAL,"Validar costo, antena, autonomia, certificacion y espacio antes de incluirlo en todas las unidades"
SS-RF-002,Activacion de competencia,"Inscripcion por QR/BLE/NFC o numero de serie; el backend entrega credenciales y configuracion temporal del evento","Dar de alta solamente dispositivos autorizados y asignarlos al atleta/categoria",RECOMENDADO,"Debe expirar automaticamente y evitar activaciones no autorizadas"
SS-RF-003,Modo Events temporal,"Activar RF, intervalo de posicion, geocerca, tiempo limite, alertas y reglas definidas por organizador","Convertir temporalmente Lite/Pro en nodo de competencia",RECOMENDADO,"La seguridad basica local y el SOS no deben depender de una membresia activa"
SS-RF-004,Dispositivos alquilados,"Mantener una flota Events para atletas sin dispositivo propio y reemplazos","Cubrir inicialmente el 100 por ciento y reducir alquileres a medida que crece la base instalada",RECOMENDADO,"Requiere carga, inventario, limpieza, asignacion y recuperacion"
SS-RF-005,Infraestructura evento,"Gateways multicanal ubicados en costa y, segun recorrido, embarcaciones o puntos elevados","Recibir RF de los dispositivos y alimentar panel del organizador",OBLIGATORIO,"Un telefono comun no reemplaza un gateway RF; validar cobertura real sobre agua"
SS-RF-006,Telemetria RF,"Transmitir paquetes compactos y espaciados: identidad, posicion, estado, SOS y eventos; conservar IMU detallada localmente","Evitar saturacion cuando participan decenas o cientos de nadadores",OBLIGATORIO,"No usar RF para transmitir IMU cruda continua; diseñar intervalos escalonados y prioridad SOS"
SS-RF-007,Capacidad y redundancia,"Diseñar para multiples gateways, mensajes repetidos de emergencia y registro local/celular cuando exista","Reducir colisiones y conservar evidencia aun si falla un enlace",RECOMENDADO,"RF no garantiza recepcion absoluta; requiere pruebas de carga con 10, 50, 150 y mas nodos"
SS-RF-008,Arquitectura PCB,"Usar una PCB comun con huella y zona RF previstas; decidir si el radio se monta en todos o solo ciertas variantes","Evitar rediseñar completamente el dispositivo posteriormente",RECOMENDADO,"Si Lite sale sin radio instalado, no podra habilitar Events solo por software"
SS-RF-009,Modelo comercial,"Cobrar inscripcion/servicio Events al organizador; propietario usa su dispositivo y alquiler queda para quienes no poseen uno","Reducir flota necesaria y fortalecer adopcion de marca",RECOMENDADO,"Definir responsabilidades, soporte, daños, privacidad y limites del servicio"
SS-RF-010,Regulacion,"Seleccionar banda, potencia y modulo homologable para Peru y futuros mercados","Operar legalmente y facilitar certificaciones","PENDIENTE_CRITICO,"Confirmar normativa MTC, homologacion y reglas de cada pais antes del diseño final"
SS-RF-011,Estrategia de lanzamiento,"Incluir capacidad Events dormida dentro de Lite/Pro cuando su impacto total permanezca dentro del margen; anunciarla comercialmente al lanzar Events","Generar valor posterior para propietarios existentes y fortalecer percepcion de plataforma evolutiva",RECOMENDADO_CONDICIONAL,"No promocionar antes de estar lista es valido; la presencia del radio, homologacion, privacidad y condiciones de activacion deben declararse donde legalmente corresponda"
SS-RF-012,Umbral economico,"Aprobar RF comun solamente despues de calcular modulo, antena, PCB, consumo, bateria, certificacion, ensamblaje y merma","Evitar que una futura funcion deteriore precio y margen del producto principal",OBLIGATORIO,"Evaluar costo total incorporado y no solamente precio unitario del chip RF"
SS-RF-013,Compatibilidad futura,"Reservar identidad, bootloader, actualizacion y protocolo para activar Events en unidades vendidas previamente","Permitir que la funcion futura opere sin retirar o abrir dispositivos sellados",RECOMENDADO,"Requiere actualizacion remota segura o flujo de activacion local probado"
