id,version,tipo,cliente_principal,hardware_clave,comunicacion,alerta_primaria,funciones,modelo_comercial,estado_recomendado
SS-VER-001,Save Swimmer Lite,Dispositivo personal,Atleta local,"IMU, GNSS, celular, agua/seco, memoria, LED, bateria compacta","Celular + BLE; RF Events dormido solo si cabe en margen","Contactos/coach/familia segun sesion","Seguridad local, historial, analisis dorsal y activacion Events futura","Venta S/600-800 referencial + membresia S/40-50",PRODUCTO_INICIAL
SS-VER-002,Save Swimmer Pro,Dispositivo personal premium,Travesia/usuario remoto,"Base Lite + bateria mayor + antena/comunicacion redundante o satelital","Celular + satelital/redundancia + BLE + RF Events","Contactos y centro definido por usuario; escalamiento configurable","Cobertura ampliada, autonomia, ultima posicion y modos de travesia","Venta premium + membresia alta",FUTURO_DESPUES_LITE
SS-VER-003,Save Swimmer Events Node,Dispositivo de competencia,Organizador/atleta,"Base comun robusta, RF Events, GNSS, agua/seco, LED, identidad y memoria","RF hacia gateways; celular opcional; BLE para asignacion","Centro de seguridad del evento","Tracking compacto, geocerca, estado, SOS interno, fuera de tiempo y cierre","Alquiler o activacion por evento",DESARROLLAR_TRAS_VALIDAR_LITE
SS-VER-004,Save Swimmer Events Multisport,Modo/variante Events,Triatlon/aquathlon/swimrun,"Events Node con sujecion y firmware adaptados al segmento","RF/gateway y API con evento","Centro de seguridad del evento; sin SOS gubernamental directo","Control del segmento acuatico, cut-off, salida del agua y transicion","Servicio por evento + integracion",OPORTUNIDAD_ESTRATEGICA
SS-VER-005,Save Swimmer Events Gateway Kit,Infraestructura,Organizador/operador Events,"Gateways multicanal, energia, enlaces y respaldo","RF nodos -> gateway -> backend","Centro de comando del evento","Cobertura, recepcion redundante y enlace a panel","Alquiler/servicio por evento",OBLIGATORIO_PARA_EVENTS
SS-VER-006,Save Swimmer Events Command,Software B2B,Organizador/seguridad,"Panel, backend, mapa y dispositivos operativos","Internet/local híbrido","Centro de seguridad del evento","Check-in QR, asignacion, mapa multiatleta, alarmas, cierre y auditoria","Licencia/servicio por evento",OBLIGATORIO_PARA_EVENTS
SS-VER-007,Save Swimmer Coach,Software monitor,Coach/club,"Telefono/tablet","Backend/celular","Coach","Mapa, geocerca, alarma, grupo, tiempo objetivo y cierre","Free seguridad + Pro gestión",EN_DESARROLLO
SS-VER-008,Save Swimmer Family,Software simple,Familia,"Telefono","Backend/celular","Familia o coach según contexto","Estado autorizado, ultima ubicación y alertas simples","Gratis cubierto por atleta",EN_DESARROLLO
SS-VER-009,Save Swimmer Research Logger,Dispositivo/software de desarrollo,Universidad/equipo interno,"IMU, GNSS, sensores adicionales, memoria accesible","BLE/USB/WiFi; celular opcional","No aplica como dispositivo de emergencia","Datasets, exportacion y pruebas configurables","Venta/alquiler/servicio",UTIL_DURANTE_VALIDACION
SS-VER-010,Save Swimmer Institutional,Producto separado,Entidades publicas/profesionales,"A definir por misión y regulación","A definir","Centro institucional","No heredar promesas ni firmware comercial sin rediseño","Contrato institucional",NO_PRIORIZAR
