"codigo","grupo","rotacion","dedos","patada","respiracion","entorno","duracion_sugerida","descripcion","uso_en_app","lectura_esperada"
"B00","base","mesa/plano","no aplica","no aplica","no aplica","seco","30 s","Dispositivo apoyado en base plana para tomar cero fisico del prototipo.","USER=atleta / MODE=B00","LR, FB y ROT estables; MAG cercano a gravedad; sirve para comparar contra montaje real."
"P00","base","postura de pie","no aplica","no aplica","no aplica","seco","30 s","Dispositivo colocado en atleta, de pie y quieto, antes de entrar al agua.","USER=atleta / MODE=P00","Detectar offset por colocacion, cinta o caja; no debe interpretarse como nado."
"QAGU","base","quieto agua","no aplica","no aplica","libre","agua","15 a 30 s","Atleta en agua sin avanzar, solo si es comodo y seguro.","USER=atleta / MODE=QAGU","Separar ruido de agua/postura de movimiento real; no forzar cara dentro del agua."
"BASE","nado","natural","natural","natural","natural","piscina/mar","25 m o 2 min","Nado libre normal sin tecnica forzada.","USER=atleta / MODE=BASE","Patron de referencia propio del atleta: rotacion, alineacion, impulso y ciclo."
"RD","respiracion","natural","natural","natural","derecha","piscina/mar","25 m","Nado libre respirando principalmente hacia derecha.","USER=atleta / MODE=RD","La respiracion deberia modificar el rolido; comparar contra BASE."
"RI","respiracion","natural","natural","natural","izquierda","piscina/mar","25 m","Nado libre respirando principalmente hacia izquierda.","USER=atleta / MODE=RI","La respiracion deberia modificar el rolido; comparar simetria derecha/izquierda."
"RBDA-SP","tecnica","baja/sin rotacion","abiertos","sin","libre","piscina","25 m","Baja rotacion, dedos abiertos y sin patada.","USER=atleta / MODE=RBDA-SP","Rotacion baja, impulso posiblemente bajo/irregular, alineacion puede caer."
"RBDA-CP","tecnica","baja/sin rotacion","abiertos","con","libre","piscina","25 m","Baja rotacion, dedos abiertos y con patada.","USER=atleta / MODE=RBDA-CP","Comparar si la patada sostiene alineacion aunque la rotacion sea baja."
"RBDC-SP","tecnica","baja/sin rotacion","cerrados","sin","libre","piscina","25 m","Baja rotacion, dedos cerrados y sin patada.","USER=atleta / MODE=RBDC-SP","Debe mostrar diferencia de impulso contra dedos abiertos si el movimiento es claro."
"RBDC-CP","tecnica","baja/sin rotacion","cerrados","con","libre","piscina","25 m","Baja rotacion, dedos cerrados y con patada.","USER=atleta / MODE=RBDC-CP","Patron de control con mayor empuje potencial que RBDA-CP."
"RNDA-SP","tecnica","normal","abiertos","sin","libre","piscina","25 m","Rotacion normal, dedos abiertos y sin patada.","USER=atleta / MODE=RNDA-SP","Evaluar si rotacion normal compensa parte del impulso bajo."
"RNDA-CP","tecnica","normal","abiertos","con","libre","piscina","25 m","Rotacion normal, dedos abiertos y con patada.","USER=atleta / MODE=RNDA-CP","Base tecnica intermedia con patada y menor empuje de mano."
"RNDC-SP","tecnica","normal","cerrados","sin","libre","piscina","25 m","Rotacion normal, dedos cerrados y sin patada.","USER=atleta / MODE=RNDC-SP","Buen codigo para aislar torso/impulso sin ayuda de patada."
"RNDC-CP","tecnica","normal","cerrados","con","libre","piscina","25 m","Rotacion normal, dedos cerrados y con patada.","USER=atleta / MODE=RNDC-CP","Candidato a referencia tecnica propia del atleta si sale consistente."
"REDA-SP","tecnica","exagerada","abiertos","sin","libre","piscina","25 m","Rotacion exagerada, dedos abiertos y sin patada.","USER=atleta / MODE=REDA-SP","Rotacion alta o excesiva; puede aumentar asimetria y afectar alineacion."
"REDA-CP","tecnica","exagerada","abiertos","con","libre","piscina","25 m","Rotacion exagerada, dedos abiertos y con patada.","USER=atleta / MODE=REDA-CP","Evaluar si patada oculta o compensa exceso de rotacion."
"REDC-SP","tecnica","exagerada","cerrados","sin","libre","piscina","25 m","Rotacion exagerada, dedos cerrados y sin patada.","USER=atleta / MODE=REDC-SP","Ver si el impulso sube pero la alineacion empeora."
"REDC-CP","tecnica","exagerada","cerrados","con","libre","piscina","25 m","Rotacion exagerada, dedos cerrados y con patada.","USER=atleta / MODE=REDC-CP","Control de exceso de rolido con maxima ayuda de empuje/patada."
"FAT-2M","fatiga","natural","natural","natural","natural","piscina/mar","2 a 4 min","Nado continuo para observar cambio de tecnica con cansancio.","USER=atleta / MODE=FAT-2M","Buscar caida de alineacion, cambio de ciclo, impulso irregular o perdida de simetria."
"MAR-BASE","campo","natural","natural","natural","natural","mar","2 a 5 min","Nado natural en mar, sin forzar tecnica.","USER=atleta / MODE=MAR-BASE","Validar GPS, senal BLE si aplica, movimiento real, oleaje y diferencia contra piscina."
