"senal","base_comparable","conteo","porcentaje","interpretacion","accion_recomendada"
"Ubicacion/seguimiento como necesidad principal","7","6","85.7","Seis de siete respuestas comparables priorizan ubicacion, seguimiento o localizacion como valor principal.","Mantener ubicacion en tiempo real, ultima senal y mapa simple como promesa central."
"Salida de zona segura/geocerca","3","3","100","Todas las encuestas presenciales breves seleccionaron salida de zona segura.","Mantener geocerca como funcion central de Lite, Coach y Event."
"Incomodidad como barrera","3","3","100","Todos los formularios presenciales identificaron incomodidad como barrera.","Tratar ergonomia, tamano, sujecion y prueba dorsal real como requisito critico."
"Disposicion a pruebas futuras","4","4","100","Todas las respuestas digitales aceptan participar en pruebas futuras.","Crear flujo beta con consentimiento y datos minimos de contacto por separado."
"Nadador detenido/inmovilidad","4","3","75","Tres de cuatro respuestas digitales consideran importante detectar al nadador detenido.","Priorizar estado sin avance combinando IMU, GPS y tiempo, con lenguaje simple."
"Emergencia medica como preocupacion","4","2","50","Las dos nuevas respuestas del formulario agregan emergencia medica como preocupacion directa.","No prometer diagnostico medico; enfocar en deteccion temprana de comportamiento anormal y alerta humana."
"Organizador de evento como receptor","4","3","75","Tres de cuatro respuestas digitales incluyen al organizador de evento como receptor de alerta.","En modo Event, definir organizador/rescate/coach como primer contacto operativo."
"SOS manual/perdida prolongada de senal","4","1","25","Una de cuatro respuestas digitales prioriza SOS manual y perdida prolongada de senal.","Mantener SOS manual, pero no desplazar la alerta automatica contextual."
"Aceptacion de membresia","4","3","75","Tres de cuatro respuestas digitales aceptarian membresia; una respuesta nueva declara que no pagaria.","Validar precio, beneficios y modalidad gratuita/freemium para familia o pruebas."
"Resistencia explicita a membresia","4","1","25","Una de cuatro respuestas digitales no pagaria membresia.","Separar valor del dispositivo, costos de conectividad y servicios premium."
"Preferencia pulsera","4","2","50","Dos de cuatro respuestas digitales prefieren pulsera.","Investigar si la preferencia viene por comodidad/familiaridad; no mover sensor dorsal sin evidencia tecnica."
"Preferencia boya","4","2","50","Las dos respuestas nuevas prefieren boya.","Evaluar boya como accesorio, modo Event o referencia visual, sin reemplazar aun el modulo dorsal."
"Interes NFC/QR emergencia","4","4","100","Todas las respuestas digitales aceptan o consideran NFC/QR de emergencia.","Mantener QR/NFC como identificacion pasiva complementaria, no como sistema principal de seguridad."
