id,mercado,geografia,cliente_pagador,usuario,problema_principal,oferta_save_swimmer,version_recomendada,modelo_ingreso,prioridad,condicion_para_entrar
SS-MKT-001,Nadador solitario costero,Peru y ciudades costeras globales,Atleta,Atleta,"Familia desconoce ubicacion y estado durante el nado","Ubicacion, movimiento, agua/seco, SOS escalonado, historial y contactos","LITE LOCAL",Venta + membresia,MAXIMA,"Cobertura celular validada y alertas confiables"
SS-MKT-002,Nadador solitario remoto,Global y zonas peruanas sin cobertura,Atleta premium,Atleta,"Ausencia o discontinuidad de cobertura celular","Comunicacion redundante o satelital, autonomia ampliada y ultima posicion","PRO GLOBAL",Venta premium + membresia alta,FUTURA,"Costo y antena satelital viables; acuerdos de conectividad"
SS-MKT-003,Entrenadores y clubes de aguas abiertas,Peru primero; global despues,Coach/club,Coach y atletas,"Dificultad para observar grupos, rezagados y cierre seguro","Mapa multiatleta, geocerca grupal, alarma coach, tiempo limite y cierre individual","LITE + COACH",Dispositivos + Coach Pro,MAXIMA,"Coach Live multiatleta y piloto controlado"
SS-MKT-004,Familias de nadadores,Global,Cubierto por membresia atleta,Familia,"Ansiedad y falta de informacion simple","Estado autorizado, ultima ubicacion, alerta y contacto","APP FAMILIA + LITE/PRO",Gratis para familia; impulsa compra,ALTA,"Privacidad y mensajes no tecnicos"
SS-MKT-005,Entrenamiento tecnico individual,Global,Atleta,Atleta,"Poca visibilidad sobre evolucion de rotacion, ritmo y consistencia","Analisis dorsal, comparacion personal e historial","LITE PERFORMANCE",Venta + membresia,ALTA,"Validar metricas con datos reales y entrenadores"
SS-MKT-006,Academias y centros de entrenamiento,Peru/LatAm/Global,Academia,Entrenadores y alumnos,"Necesidad de diferenciar servicio y documentar progreso","Flota compartida, perfiles, sesiones, reportes y permisos","CLUB / RESEARCH",Alquiler o licencia B2B,ALTA,"Gestion multiusuario y sanitizacion/operacion"
SS-MKT-007,Competencias de aguas abiertas,Peru/LatAm/Global,Organizador,Centro de seguridad y atletas,"Poca visibilidad entre salida y llegada; control manual de participantes","Monitoreo continuo, check-in QR, geocerca, fuera de tiempo y cierre seguro","EVENTS OPEN WATER",Servicio por evento + alquiler/activacion,MUY_ALTA,"RF/gateways y capacidad probados; contratos y plan de seguridad"
SS-MKT-008,Nados nocturnos,Peru/Global,Organizador y atleta,Centro de seguridad y atletas,"Baja visibilidad e identificacion tardia","LED 360, identidad, ubicacion, alertas y cierre","EVENTS NIGHT / LITE",Servicio por evento + activacion,ALTA,"LED y autonomia validados sin sustituir iluminacion obligatoria"
SS-MKT-009,Triatlon con segmento de mar/lago/rio,Peru/Global,Organizador de triatlon,Centro de seguridad y triatletas,"El tracker tradicional suele estimar posicion desde splits y no observar continuamente el agua","Monitoreo real del segmento acuatico, cut-off, salida de agua y entrega a transicion","EVENTS MULTISPORT",Servicio por evento + integracion API,MUY_ALTA,"Aprobacion del organizador y federacion; dispositivo pasivo/no distractivo"
SS-MKT-010,Aquathlon,Peru/Global,Organizador,Centro de seguridad y atletas,"Segmento acuatico necesita control y cierre antes de carrera","Monitoreo acuatico y confirmacion automatica de salida del agua","EVENTS MULTISPORT",Servicio por evento,ALTA,"Integracion de transicion y reglamento"
SS-MKT-011,Swimrun y carreras de aventura con agua,Global/LatAm,Organizador,Centro de seguridad y equipos,"Multiples entradas/salidas del agua y recorridos dispersos","Estados agua/tierra, tracking de equipos y alertas en segmentos acuaticos","EVENTS ADVENTURE",Servicio por evento,FUTURA,"Revalidar sujecion, bateria, estados y reglas fuera del agua"
SS-MKT-012,Travesias y cruces de larga distancia,Peru/Global,Organizador o atleta premium,Centro de seguridad y atletas,"Duracion, dispersion, cobertura irregular y dificultad de rescate","Autonomia, redundancia, ultima posicion, apoyo a plan de seguridad","PRO / EVENTS PRO",Venta premium + servicio evento,ALTA_FUTURA,"Pruebas extensas; comunicaciones redundantes; no prometer rescate"
SS-MKT-013,Operadores de turismo acuatico guiado,Peru/Global,Operador turistico,Guia y participantes,"Control de grupos y participantes separados","Asignacion temporal, geocerca, cierre y panel guia","EVENTS TOUR / CLUB",Alquiler B2B + servicio,FUTURA,"Seguro, contratos, operación y pruebas por actividad"
SS-MKT-014,Municipios/playas con zonas de nado supervisadas,Peru/Global,Municipio/concesionario,Salvavidas y usuarios registrados,"Poca trazabilidad dentro de zonas habilitadas","Check-in, geocerca, panel salvavidas y cierre","EVENTS BEACH",Contrato institucional,FUTURA,"Piloto institucional y límites claros de responsabilidad"
SS-MKT-015,Investigacion deportiva y universidades,Peru/Global,Universidad/laboratorio,Investigadores y atletas,"Falta de datasets dorsales reales en aguas abiertas","Data logger, exportacion, trazabilidad y configuracion experimental","RESEARCH LOGGER",Venta/alquiler + soporte,ALTA,"Consentimiento, diccionario de datos y calidad medible"
SS-MKT-016,Fabricantes de wetsuits/boyas/accesorios,Global,Fabricante/OEM,Clientes del fabricante,"Buscan agregar conectividad o diferenciacion","Modulo/licencia/API Save Swimmer integrado o accesorio compatible","OEM MODULE",Licencia + hardware,FUTURA,"Propiedad intelectual, estándares y volumen"
SS-MKT-017,Aseguradoras y programas de beneficios,Global/A futuro,Aseguradora o club asegurado,Atleta asegurado,"Buscan reducir exposición y mejorar evidencia operacional","Programa de adopcion, sesiones verificadas y alertas","LITE/PRO + PLATFORM",Acuerdo B2B2C,FUTURA,"No afirmar reducción de riesgo sin evidencia actuarial"
SS-MKT-018,Rescate,policia o defensa,Peru/Global,Entidad publica,Personal operativo,"Seguimiento y seguridad de personal en ambientes acuaticos","Posible variante profesional especializada","INSTITUTIONAL SEPARADA",Contrato institucional,NO_PRIORIZAR,"Nuevo producto, requisitos y certificaciones; no extrapolar Lite sin validacion"
