"id","fecha","area","prioridad","requisito","motivo","alcance_objetivo","estado","version_referencia"
"SS-FW-PEN-038","2026-06-08","App/Mapas","Alta","Construir visualizacion segura para recorridos largos","La futura grafica debe contar la historia del nado sin inventar continuidad entre muestras ausentes","Implementar posiciones confirmadas, tramos estimados, huecos, ultima posicion valida, replay temporal, ruta prevista, geocerco y vistas diferenciadas","PENDIENTE","SS-REQUISITOS-VISUALIZACION-RECORRIDOS-LARGOS-V001"
"SS-FW-PEN-001","2026-05-26","Firmware/BLE","Alta","Consultar estado de sesion al reconectar: activa, cerrada, archivo, filas y bytes","El nadador saldra de rango BLE durante el nado","Implementado para validacion de sesion activa/idle; descarga aun pendiente","IMPLEMENTADO_V030","SS-LITE-BLE-SD-V1-030"
"SS-FW-PEN-002","2026-05-26","Firmware/BLE","Alta","Listar archivos de sesiones guardadas en almacenamiento local","No retirar microSD ni abrir carcasa para acceder a datos","V031 permite descargar la ultima sesion; listado completo queda pendiente","PARCIAL_V031","SS-LITE-BLE-SD-V1-031"
"SS-FW-PEN-003","2026-05-26","Firmware/App Android","Alta","Descargar CSV completo desde dispositivo por BLE al celular","La app en vivo registra solo muestras recibidas estando cerca","SS000008 transferido y comparado byte por byte con original SD; hash SHA-256 identico","VALIDADO_V031_APP0313","FIELD-VIEWER-V0.3.13"
"SS-FW-PEN-004","2026-05-26","Firmware/Viewer PC","Alta","Descargar CSV completo desde dispositivo por BLE a PC","Permitir analisis sin retirar almacenamiento interno","Proxima version funcional posterior a V029","PENDIENTE","SS-LITE-BLE-SD-V1-029"
"SS-FW-PEN-005","2026-05-26","Datos/Integridad","Alta","Confirmar transferencia completa antes de archivar o borrar sesion local","Evitar perdida o duplicacion de datos","Transferencia integra validada por hash; borrado/archivo gestionado del dispositivo aun pendiente","PARCIAL_VALIDADO_TRANSFERENCIA_V031","SS-LITE-BLE-SD-V1-031"
"SS-FW-PEN-006","2026-05-26","Firmware/App Android","Critica","Al conectar o reconectar, leer desde el ESP perfil real y sesion activa antes de guardar o descargar","La app hoy inicia mostrando Paula aunque el dispositivo pueda estar grabando otro atleta","App consulta PROFILE? y STATUS? al conectar; bloquea edicion en sesion activa","IMPLEMENTADO_V030_APP0312","FIELD-VIEWER-V0.3.12"
"SS-FW-PEN-007","2026-05-26","App Android","Alta","Eliminar atleta de ejemplo como valor activo; usar campos vacios o modo demostracion claramente separado","Evitar guardar sesiones oficiales con etiqueta incorrecta","Campos de atleta inician vacios; respaldo BLE queda manual como modo laboratorio","IMPLEMENTADO_APP0312","FIELD-VIEWER-V0.3.12"
"SS-FW-PEN-008","2026-05-26","Firmware/BLE","Alta","Responder comando PROFILE? o incluir USER/AGE/HEIGHT/WEIGHT/MODE en STATUS?","El dispositivo debe ser fuente de verdad de la sesion iniciada","PROFILE? y STATUS? implementados; CFG rechazado si sesion activa","IMPLEMENTADO_V030","SS-LITE-BLE-SD-V1-030"
"SS-FW-PEN-009","2026-05-26","Firmware/Datos","Critica","Detectar sesiones interrumpidas o con ultima fila truncada y no presentarlas como validas","SS000009 fue transferido correctamente pero ya estaba incompleto en microSD","V032 agrega #END_SESSION y validacion CLEAN=YES/NO; pendiente prueba fisica","IMPLEMENTADO_SIN_VALIDAR_V032","SS-LITE-BLE-SD-V1-032"
"SS-FW-PEN-010","2026-05-26","Firmware/Energia","Alta","Confirmar cada lote SD y registrar causa de reinicio durante corte de sesiones","SS000011 mostro 895 filas en app pero recupero 860 completas sin cierre","V033 fuerza checkpoint cada 1 segundo; registra RESET; reabre archivo para escribir/verificar footer; pendiente prueba fisica","IMPLEMENTADO_SIN_VALIDAR_V033","SS-LITE-BLE-SD-V1-033"
"SS-FW-PEN-011","2026-05-26","Firmware/microSD","Critica","Evitar stream SD abierto que acepta filas no persistidas en archivo final","SS000012 incluye footer ROWS=925 pero archivo conserva solo 501 filas completas y una truncada","V034 escribe lotes abriendo/cerrando y verifica crecimiento real del archivo antes de confirmar filas","IMPLEMENTADO_SIN_VALIDAR_V034","SS-LITE-BLE-SD-V1-034"
"SS-FW-PEN-012","2026-05-27","Firmware/diagnostico SD","Critica","Persistir y consultar la ultima causa de corte de grabacion SD","SS000015 y SS000016 con V034 terminan sin footer a 31.71 s y 30.93 s con filas completas","V035 reporta LAST_EVENT y RESET por STATUS; app V0.3.18 presenta aborto SD o sesion recuperada tras reinicio","IMPLEMENTADO_SIN_VALIDAR_V035","SS-LITE-BLE-SD-V1-035"
"SS-FW-PEN-013","2026-05-27","Firmware/microSD","Critica","Evitar aborto inmediato ante fallo transitorio de readback SD","V035 captura BATCH_READBACK_FAILED en SS000017 a SS000021; archivos quedan con filas completas pero sin cierre","V036 escribe cada 3 s y verifica mediante relecturas con espera y remontaje sin reescribir lotes dudosos","IMPLEMENTADO_SIN_VALIDAR_V036","SS-LITE-BLE-SD-V1-036"
"SS-FW-PEN-014","2026-05-27","Diagnostico hardware microSD","Critica","Aislar fallo SD.begin posterior al formateo","V036 informa MICROSD INIT FAILED al arranque y SD_RECOVERY_FAILED al iniciar sesion aun despues de resoldar VCC/GND","Sketch SS-MICROSD-MOUNT-V003 prueba montaje sin BLE/MPU a 400 kHz, 1 MHz y 4 MHz con una sola lectura/escritura","LISTO_PARA_PRUEBA","SS-MICROSD-MOUNT-V003"
"SS-FW-PEN-015","2026-05-27","Firmware/microSD","Alta","Reducir bloqueos periodicos de escritura SD observados en filas repetibles","V036 muestra saltos de 0.28-0.35 s cerca de filas 58/116/202/317/518/633 y cortes entre filas 661-689","V037 usa buffer largo 10 s, pausa BLE/Serial durante flush y reporta FLUSH_COUNT/FLUSH_MS/FLUSH_MAX_MS; app V0.3.20 muestra metricas","IMPLEMENTADO_SIN_VALIDAR_V037","SS-LITE-BLE-SD-V1-037"
"SS-FW-PEN-016","2026-05-27","Firmware/microSD","Alta","Evitar abortar sesiones largas por readback intermedio de tamano","V037 llega a 130.37 s con filas completas pero sin footer; cada flush bloquea aproximadamente 0.4 s","V038 mantiene CSV y flush 10 s; valida write/flush durante sesion y deja readback fuerte para cierre/descarga; app V0.3.21 compatible","IMPLEMENTADO_SIN_VALIDAR_V038","SS-LITE-BLE-SD-V1-038"
"SS-FW-PEN-017","2026-05-27","Firmware/multi-atleta","Alta","Permitir tomar varios atletas consecutivos sin apagar el ESP","Tras una sesion V038 cerrada manualmente en 1103 filas, al cargar otro usuario el dispositivo quedo lento/no inicio hasta reiniciar energia","V039 cancela transferencias BLE pendientes, limpia estado idle al cerrar/perfil y remonta microSD al iniciar cada nueva sesion; app V0.3.22 compatible","IMPLEMENTADO_SIN_VALIDAR_V039","SS-LITE-BLE-SD-V1-039"
"SS-FW-PEN-018","2026-05-27","Firmware/microSD","Alta","Reducir demora de luz verde y cortes durante escritura SD","V039 graba menos tiempo y mantiene demora visible de LED durante flush; apunta a bloqueo de microSD durante lotes grandes","V040 reduce flush de 10 s a 2 s, no envia confirmacion BLE por cada lote y pausa Serial JSON durante grabacion; app V0.3.23 compatible","IMPLEMENTADO_SIN_VALIDAR_V040","SS-LITE-BLE-SD-V1-040"
"SS-FW-PEN-019","2026-05-27","Firmware/microSD","Alta","No cortar la sesion por un fallo puntual al abrir lote SD","V040 mejora escritura y logra una sesion limpia de 62 s y otra de 167 s, pero sigue cortando antes de 2 min en modo libre","V041 conserva buffer si falla SD.open, remonta microSD y reintenta; agrega SD_FAILS y BUFFER_BYTES a STATUS; app V0.3.24 compatible","IMPLEMENTADO_SIN_VALIDAR_V041","SS-LITE-BLE-SD-V1-041"
"SS-FW-PEN-020","2026-05-27","Firmware/integridad datos","Alta","Eliminar saltos numericos de filas y marcar pausas de recuperacion SD","V041 graba 16 min 19 s y cierra correctamente, pero deja 14 saltos de filas con 347 muestras faltantes","V042 pausa nuevas filas durante recuperacion SD, reintenta flush pendiente y registra #SD_GAP/#SD_RESUME; app V0.3.25 compatible","IMPLEMENTADO_SIN_VALIDAR_V042","SS-LITE-BLE-SD-V1-042"
"SS-FW-PEN-021","2026-05-28","Firmware/integridad SD","Alta","Detectar perdida invisible de lotes SD que print/flush reporta como exitosa","V043 cierra 13 min 25 s pero conserva 20 saltos y 168 muestras faltantes sin marcadores #SD_GAP","V044 verifica crecimiento real de archivo luego de cada flush; si no crece conserva buffer y reintenta, si crece parcial detiene por seguridad; app V0.3.27 compatible","VALIDADO_CON_GAPS_V044","SS-LITE-BLE-SD-V1-044"
"SS-FW-PEN-022","2026-05-28","Firmware/integridad SD","Alta","Reducir pausas #SD_GAP sin volver a ocultar perdida de muestreo","V044 graba y cierra correctamente, pero 21 #SD_GAP suman aproximadamente 71 s en sesion larga","Proxima version debe reducir bloqueo SD o separar muestreo de escritura; mantener marcadores de pausa para trazabilidad","PENDIENTE","SS-LITE-BLE-SD-V1-044"
